event_id,event_type,mode,audience,level,duration_total_min,phase_order,phase_label,phase_format,is_mandatory_phase,phase_duration_min,satisfaction_phase_score,recommendation_target
1,formation,presentiel,mixte,intermediaire,242,1,ouverture,speech,1,49,3.06,keep
1,formation,presentiel,mixte,intermediaire,242,2,etude_de_cas,atelier,0,54,4.01,keep
1,formation,presentiel,mixte,intermediaire,242,3,module_pratique,pratique,1,59,3.4,keep
1,formation,presentiel,mixte,intermediaire,242,4,pause,pause,1,34,4.09,keep
1,formation,presentiel,mixte,intermediaire,242,5,cloture,speech,1,44,3.44,keep
2,formation,presentiel,mixte,intermediaire,267,1,ouverture,speech,1,54,3.72,keep
2,formation,presentiel,mixte,intermediaire,267,2,pause,pause,1,38,3.53,keep
2,formation,presentiel,mixte,intermediaire,267,3,module_pratique,pratique,1,65,3.09,keep
2,formation,presentiel,mixte,intermediaire,267,4,etude_de_cas,atelier,0,59,3.25,swap
2,formation,presentiel,mixte,intermediaire,267,5,cloture,speech,1,49,3.16,keep
3,depistage,en_ligne,mixte,intro,155,1,ouverture,speech,1,27,3.56,keep
3,depistage,en_ligne,mixte,intro,155,2,flux_depistage,pratique,1,32,3.73,keep
3,depistage,en_ligne,mixte,intro,155,3,pause,pause,1,16,3.42,keep
3,depistage,en_ligne,mixte,intro,155,4,orientation,qna,1,27,3.53,swap
3,depistage,en_ligne,mixte,intro,155,5,briefing,speech,1,27,4.3,keep
3,depistage,en_ligne,mixte,intro,155,6,cloture,speech,1,24,3.34,add_after
4,atelier,en_ligne,professionnels,intermediaire,226,1,ouverture,speech,1,44,4.61,keep
4,atelier,en_ligne,professionnels,intermediaire,226,2,atelier_principal,pratique,1,57,3.13,swap
4,atelier,en_ligne,professionnels,intermediaire,226,3,restitution,speech,1,44,4.13,keep
4,atelier,en_ligne,professionnels,intermediaire,226,4,icebreaker,activite,0,39,3.43,keep
4,atelier,en_ligne,professionnels,intermediaire,226,5,cloture,speech,1,39,4.77,keep
5,atelier,en_ligne,etudiants,intro,210,1,ouverture,speech,1,36,3.44,remove
